"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/05/25 11:21:22 PM GMT+4","Nigeria","45-54","Male","Master’s degree or higher","Researcher / Academic","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Urban areas","Moderately concerned","Somewhat knowledgeable","Radio;Social Media;Scientific publications","Yes","","No","TV;Radio;YouTube","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","No","None","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Community-based waste management","Proper disposal","Better waste facilities","Action plan for environmental sanitation ","Africans should care more about environmental sanitation"
"2025/05/25 11:37:21 PM GMT+4","Nigeria","35-44","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Urban dumpsites","Yes","Agricultural land","Moderately concerned","Somewhat knowledgeable","Scientific publications","Yes","it causes genetic mutation in aquatic life ","No","WhatsApp","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Moderately","No","Reusing and repairing products;Redesigning packaging;Industrial recycling","Private companies","Inflation and hostile environment for business ","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws","I always advised my family for a proper disposal of plastic especially burning all plastic for energy purposes ","Financial incentives","Government should create public awareness and build incinerator in strategic place for the recycling of plastic products ","Let research on how to minimize macro and microplastic challenges in the environment be carried out and solution preferred "
"2025/05/25 11:52:03 PM GMT+4","Niger","35-44","Male","Vocational/Technical training","NGO / Civil society worker","Private Sector","Occasionally","Roadsides","Yes","Forests","Not concerned","Very knowledgeable","Community leaders","Yes","","No","TV","Food chain contamination","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers;None","Government","","Increased recycling infrastructure","","Better waste facilities","",""
"2025/05/25 11:53:26 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Student","Student","Rarely","Roadsides","Yes","Urban areas","","","","","","","","","","","","","","","","","",""
"2025/05/26 12:40:54 AM GMT+4","Niger","35-44","Male","Vocational/Technical training","Technicien ","Private Sector","Rarely","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Urban areas","Moderately concerned","Somewhat knowledgeable","Television","Yes","Au niveau de poumons ","No","Radio","Climate and environmental damage","Moderately","No","Upcycling waste materials","Private companies","Aucun avantage pour la pollution ","Ban on single-use plastics;Increased recycling infrastructure;Public-private partnerships","C'est des entreprises public ou qui transforme des déchet au produit réutilisable ","Better waste facilities","Avoir des turbines qui peut aspirer la pollution et la transformer sous forme de gaz","Avoir un système traitement de pollution "
"2025/05/26 1:01:32 AM GMT+4","Kenya","45-54","Male","Master’s degree or higher","Government employee","Academic/Research","Frequently","Roadsides","Yes","Agricultural land","Extremely concerned","Somewhat knowledgeable","Television","Yes","Skin cancer","Yes","TV","Climate and environmental damage","Very significantly","No","Government incentives for recyclers","Government","","Ban on single-use plastics;Strict enforcement of waste laws;Community-based waste management","Avoid plastic packaged purchase","Community leadership","Incentives","Youth groups"
"2025/05/26 1:50:59 AM GMT+4","Niger ","35-44","Male","Master’s degree or higher","Educator / Teacher","Public Sector","Frequently","Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Somewhat","Freshwater ecosystems;Agricultural land;Forests;Urban areas","Moderately concerned","Heard about it but unsure","Television;Radio;Scientific publications;School/University;Religious institutions","Yes","Tuberculose ","Yes","TV;WhatsApp;Facebook;TikTok;YouTube;Public forums;Religious institutions","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Redesigning packaging;Industrial recycling","Government;Startups;Schools/universities","","Ban on single-use plastics;National awareness campaigns;Community-based waste management","","Financial incentives","Insuffisant ","J"
"2025/05/26 5:49:00 AM GMT+4","Kenya","45-54","Male","Master’s degree or higher","Educator / Teacher","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;School/University","Yes","Poisonous fumes when burnt ","Yes","TV;Radio;Facebook","Threats to marine life;Food chain contamination;Government policy changes","Moderately","No","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Government;Private companies;Schools/universities","Not sure what this is all about.","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Recycling of used materials.","Health education","Ensure no plastic materials are released into the ecosystem.","Have some form of education concerning effects of plastics on common social media."
"2025/05/26 5:49:26 AM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/05/26 6:33:01 AM GMT+4","Kenya","45-54","Male","Diploma or equivalent","Government employee","Public Sector","Frequently","Urban dumpsites","Yes","Freshwater ecosystems;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications","Yes","The negative effects on productive heath and foetus development at the early stages. The releaseof certain leather micro elements such as heavy metals e.g lead of which organ damages is a well known effect","Yes","TV;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Slightly","No","None","I’m not sure","No idea","Ban on single-use plastics;Integration into school curricula;Strict enforcement of waste laws;Community-based waste management","I always try avoiding using them and whenever i do, I dispose them responsiblly mainly burning them","Better waste facilities","Public awareness seminars and effective heavy penalties ","Companies involved in plastic production be seriously monitored and when in bleach be heavily regulated and penalised"
"2025/05/26 7:26:34 AM GMT+4","Kenya","45-54","Male","Bachelor’s degree","NGO / Civil society worker","Private Sector","Rarely","Roadsides","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","School/University","Yes","","No","TV","Climate and environmental damage;Government policy changes","Moderately","Yes","Reusing and repairing products","Private companies","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws","","Financial incentives","",""
"2025/05/26 9:03:16 AM GMT+4","Kenya","45-54","Male","Master’s degree or higher","Government employee","Public Sector","Frequently","Roadsides","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Television","Yes","Drainage systems ","Yes","TV;Radio;Newspapers","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Government;Private companies","Funding and lack of consistency ","Ban on single-use plastics;Increased recycling infrastructure;Strict enforcement of waste laws","Don't use plastics ","Better waste facilities","Strict rules ","Proper awareness "
"2025/05/26 11:14:42 AM GMT+4","Niger ","45-54","Male","Master’s degree or higher","Government employee","Public Sector","Frequently","Roadsides;Households","","Freshwater ecosystems;Agricultural land;Forests","Extremely concerned","Very knowledgeable","Television;Scientific publications;NGOs;School/University","Yes","Health toxic, bronchit ","Yes","TV;Radio;WhatsApp;Newspapers","Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Private companies;Schools/universities;NGOs","Illitracy, we need more sensibilisations","Ban on single-use plastics;Increased recycling infrastructure;Integration into school curricula","Sensibations,","Health education","We need more sensibilisations towards the population ","I recommande to apply circular economy, it is the better way to solve this problem "
"2025/05/26 11:50:48 AM GMT+4","Niger","45-54","Male","Master’s degree or higher","NGO / Civil society worker","NGO/Civil Society","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas;Schols and others","Yes","Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media","Yes","Malaria","Yes","TV;Radio;WhatsApp;Facebook;TikTok;Newspapers;YouTube","Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Composting and biodegradables;Industrial recycling;Upcycling waste materials","NGOs","Knowledges","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Community-based waste management","Not using plastic materiels at all","Community leadership","Enforce Lows ","no"
"2025/05/26 12:26:15 PM GMT+4","Niger","18-24","Male","Master’s degree or higher","Student","Private Sector","Frequently","Roadsides","","Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;School/University","Yes","","Yes","TV","","Very significantly","No","","","","","","Health education","",""
"2025/05/26 2:50:33 PM GMT+4","Nigeria","65 and above","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","None","Yes","It cause respiratory disease","No","TV","Threats to marine life;Climate and environmental damage","Slightly","No","None","I’m not sure"," Not very sure","Increased recycling infrastructure;National awareness campaigns;Incentives for plastic alternatives","Collecting plastic and sending them back to the base company where possible ","Financial incentives","Not sure yet",""
"2025/05/26 3:05:56 PM GMT+4","Nigeria","65 and above","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas;Drainage channels ","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Scientific publications","Yes","","Yes","TV","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","I’m not sure","Lack awareness and inadequate regulation of environmental laws","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Minimise use of plastic packaging ","Health education","Clean up campaigns ",""
"2025/05/26 7:04:35 PM GMT+4","Nigeria","55-64","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Heard about it but unsure","Scientific publications;School/University","Yes","Cancer","Yes","TV;Facebook;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Slightly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Schools/universities","Knowledge and Understanding of how it works","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula","Recycling","Better waste facilities","Increased funding",""
"2025/05/26 7:41:40 PM GMT+4","Niger ","25-34","Male","Diploma or equivalent","","Student","Frequently","Urban dumpsites","No","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television","Yes","Écosystème damage ","Yes","TV;Radio;WhatsApp;Facebook;TikTok;YouTube;Religious institutions","Climate and environmental damage","Very significantly","Yes","Reusing and repairing products","Government;Local communities;Schools/universities","Down ","Ban on single-use plastics;National awareness campaigns","Sensibilisation ","Financial incentives","Prohibiting commande ","No "
"2025/05/26 7:50:58 PM GMT+4","Niger ","25-34","Female","Master’s degree or higher","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Extremely concerned","Very knowledgeable","Scientific publications;School/University","Yes","Cancer","Yes","Facebook;Public forums","Threats to marine life;Microplastics in drinking water;Food chain contamination;Call to action/cleanups;Government policy changes","Moderately","No","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Private companies;Startups;Schools/universities;NGOs","The recycling of plastic still need a lot of investments to run a unit. ","Ban on single-use plastics;Increased recycling infrastructure;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Refuse if not I reuse it and I always use hand bag for market. ","Financial incentives","",""
"2025/05/26 10:10:55 PM GMT+4","Nigeria","55-64","Male","Master’s degree or higher","Government employee","Public Sector","Frequently","Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Scientific publications","Yes","Micro plastic are produced with chemical that can cause cancer and lead to dead.","Yes","TV","Threats to marine life","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Government incentives for recyclers","Government;Private companies;Schools/universities;NGOs","Inadequate Fund to carry out the activity by government and private sector.","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns","Awareness, sensitization in diverse economy sectors.","Financial incentives","To ban the use single use plastic ","Government should put more effort on awareness campaign on ban of plastic waste management,  enforcement, political will to stop unnecessary production of plastic, proper waste packing to designated dump site, discouraging of open burning of plastic."
"2025/05/27 4:00:59 PM GMT+4","Kenya","35-44","Male","Master’s degree or higher","Government employee","Public Sector","Occasionally","Roadsides;Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media;Scientific publications","Yes","Waterborne disease and cancer","Yes","TV;Newspapers","Threats to marine life;Food chain contamination;Climate and environmental damage","Moderately","No","None","I’m not sure","n/a","Increased recycling infrastructure;National awareness campaigns;Strict enforcement of waste laws","Prioritizing personal responsibility in adhering to proper plastic disposal practices to support environmental preservation.","Health education","Tighten laws and regulations relating to plastic and microplastic pollution","none"
"2025/05/27 5:08:28 PM GMT+4","Uganda","35-44","Female","","NGO / Civil society worker","NGO/Civil Society","Occasionally","Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Community leaders","Yes","Increased risk of cancer and heart attacks","Yes","TV;Newspapers;YouTube;Public forums","Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials","Private companies","Technological challenges and  inconsistent consumer  behaviours","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Community-based waste management","Using plastic alternatives","Better waste facilities","Advocation for corporate social responsibility  and improving waste management ",""
"2025/05/27 5:16:07 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Student","Student","","Roadsides","Yes","Urban areas","Extremely concerned","Heard about it but unsure","School/University","Yes","","Yes","Public forums","I don’t recall any","Very significantly","Yes","None","Schools/universities","","National awareness campaigns","","Financial incentives","",""
"2025/05/27 5:19:18 PM GMT+4","Nigeria","18-24","Female","Bachelor’s degree","Student","Student","Never","Urban dumpsites","Yes","Urban areas","I don’t know enough to answer","Heard about it but unsure","School/University","Yes","","Not sure","Radio","I don’t recall any","Slightly","No","None","I’m not sure","","","","Health education","",""
"2025/05/27 9:10:50 PM GMT+4","Kenya","25-34","Male","Bachelor’s degree","Educator / Teacher","Public Sector","Frequently","Roadsides;Rivers/Lakes;Markets or open-air areas","Yes","Freshwater ecosystems;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media","Yes","","Yes","TV;Facebook;TikTok","Climate and environmental damage;Call to action/cleanups","Moderately","No","None","Government","","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives","","Health education","",""
"2025/05/28 12:54:23 AM GMT+4","Nigeria","25-34","Male","Diploma or equivalent","Student","Student","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;School/University;Community leaders","Yes","Marine life harm, Animals ingest or get entangled with plastic. Microplastic can enter food chain.  ","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Government;Private companies;Local communities;Schools/universities","1. Waste management improvements ( e.g, Providing of waste bin","","","Better waste facilities","Provide waste bin and put a law to it","Government should do better"
"2025/05/28 12:57:32 AM GMT+4","Nigeria","35-44","Female","Bachelor’s degree","Educator / Teacher","Private Sector","Frequently","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications","Yes","Damage to some organ systems ","No","TV;Facebook;Newspapers","Climate and environmental damage;Government policy changes","Moderately","No","Reusing and repairing products;Redesigning packaging;Industrial recycling","Government;Private companies","Incessant disposal ","Increased recycling infrastructure;Strict enforcement of waste laws;Public-private partnerships","Sanitation","Better waste facilities","Every action has been mentioned here","None"
"2025/05/28 7:32:04 AM GMT+4","Nigeria","35-44","Male","Bachelor’s degree","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Social Media","Yes","","No","TV;Facebook","Threats to marine life;Call to action/cleanups","Very significantly","No","Redesigning packaging;Industrial recycling","Startups","","Incentives for plastic alternatives","","Better waste facilities","",""
"2025/05/28 8:34:02 AM GMT+4","Nigeria","25-34","Male","Master’s degree or higher","Student","Tilling ","Occasionally","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Television;Radio;Social Media;Scientific publications;School/University;Community leaders","Yes","","Yes","Radio;Facebook;Public forums","Call to action/cleanups;Government policy changes","Moderately","No","Redesigning packaging;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government","No good road ","Ban on single-use plastics;Increased recycling infrastructure;Strict enforcement of waste laws;Community-based waste management","Moderate ","Better waste facilities","Depends on the population and the size of the community, the community leaders and government should provide something where the people will deposit it ","Everybody should be his brothers keeper by depositing it in a provided space for refuse "
"2025/05/28 11:03:35 AM GMT+4","Kenya","35-44","Male","Master’s degree or higher","Educator / Teacher","Academic/Research","Frequently","Urban dumpsites","Yes","Freshwater ecosystems","Extremely concerned","Somewhat knowledgeable","Social Media","Yes","Cancer","No","TV;Radio;WhatsApp;TikTok;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Industrial recycling","Government;NGOs","Lack of finances","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns","Personal discipline on disposal of plastic materials","Health education","Create more awareness on the negative effects of plastic and microplastic pollution",""
"2025/05/28 11:09:37 AM GMT+4","Kenya","35-44","Male","Master’s degree or higher","Government employee","Public Sector","Occasionally","Urban dumpsites","Yes","Agricultural land","Extremely concerned","Somewhat knowledgeable","Social Media","Yes","Cancer","Yes","TV","Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Upcycling waste materials;Government incentives for recyclers","Private companies","Collecting the plastic wastes","National awareness campaigns;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Using or purchasing alternatives","Better waste facilities","Sensitisation to the community on impact of plastics","N/A"
"2025/05/28 11:09:55 AM GMT+4","Nigeria","35-44","Female","Bachelor’s degree","Business owner / Entrepreneur","Public Sector","Frequently","Roadsides","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Television;Radio;Social Media;Scientific publications;NGOs;School/University;Religious institutions","Yes","","Yes","TV;Facebook;Newspapers;YouTube;Religious institutions","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","No","","I’m not sure","","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","","Health education","",""
"2025/05/28 11:32:21 AM GMT+4","Nigeria","35-44","Male","Master’s degree or higher","Government employee","Public Sector","Rarely","Roadsides;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Slightly concerned","Very knowledgeable","Scientific publications","Yes","Cancer","No","Religious institutions","I don’t recall any","Not at all","No","None","I’m not sure","","","","","",""
"2025/05/28 11:53:56 AM GMT+4","Kenya","25-34","Female","Master’s degree or higher","NGO / Civil society worker","NGO/Civil Society","Occasionally","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Television;Social Media;Scientific publications;NGOs;School/University","Yes","Microplastics may cause several health issues, including inflammation and damage to tissues. They can also carry harmful chemicals like phthalates, which may disrupt hormones and affect reproduction and development. Microplastics can absorb toxins from the environment, exposing the body to dangerous substances. There are also concerns about how they might trigger immune responses or contribute to long-term risks like cancer. ","No","TV;WhatsApp;Facebook;TikTok;YouTube","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Private companies;Startups;Local communities;Schools/universities;NGOs","The biggest challenges to a circular economy in my area include limited public awareness, weak waste collection and recycling infrastructure, and insufficient government policies to support sustainable practices. Many people still lack understanding of recycling and reuse, while industries often prioritize cost over sustainability. Additionally, there is limited investment in innovative recycling technologies and little enforcement of regulations that could drive circular initiatives forward.","National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives","I try to reduce plastic waste by using reusable bags, bottles, and containers, avoiding single-use plastics whenever possible. I also support businesses that use eco-friendly packaging and participate in local clean-up events. Additionally, I educate friends and family about plastic pollution and advocate for sustainable habits in my community.","Health education","To tackle plastic and microplastic pollution, stronger government policies are needed to regulate plastic production and waste management. More investment should go into developing biodegradable alternatives and improving recycling infrastructure. Public awareness campaigns and school education programs can drive behavioral change, while supporting local clean-up initiatives and promoting corporate responsibility will help create a culture of sustainability","I believe collaboration is key—governments, businesses, and communities must work together to create real change. Supporting local innovators and startups that focus on waste reduction can lead to scalable solutions. I’ve personally seen the impact of community clean-up events in raising awareness and fostering responsibility. Encouraging small behavioral changes, like using reusable items, can add up when adopted widely. Lastly, more needs to be done to hold producers accountable for plastic waste through extended producer responsibility (EPR) policies"
"2025/05/28 4:53:58 PM GMT+4","Kenya","55-64","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Scientific publications;School/University","Yes","","No","TV","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","","No","Reusing and repairing products;Redesigning packaging;Upcycling waste materials","Private companies;Startups;NGOs","Lack of relevant information ","Ban on single-use plastics;National awareness campaigns;Incentives for plastic alternatives","proper disposal of plastic waste","Health education","fine offenders","Refuse collectors should be trained on appropriate waste disposal methods without further littering the environment."
"2025/05/28 9:03:54 PM GMT+4","Nigeria","45-54","Male","Master’s degree or higher","Educator / Teacher","Private Sector","Occasionally","Roadsides","Yes","Agricultural land;Urban areas","Moderately concerned","Heard about it but unsure","Television;Social Media","Yes","climate change ","Not sure","TV;Facebook","Threats to marine life;Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups;Government policy changes","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","I’m not sure","Lack of information and willingness on the part of the government ","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Community-based waste management","none that i can think of at the moment ","Better waste facilities","involvement of religious and community leaders in the sensitization campaign ",""
"2025/05/28 10:44:49 PM GMT+4","Ghana ","45-54","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Beaches;Urban dumpsites;Markets or open-air areas;⁷Place of work ","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Social Media;Scientific publications;School/University","Yes","","Yes","TV;Radio;WhatsApp;Facebook","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Industrial recycling;Government incentives for recyclers","Private companies;Schools/universities","Capital","Increased recycling infrastructure;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Responsible use of plastic and recycling ","Better waste facilities","Community recycling facility ","Paying for plastic at shops"
"2025/05/28 11:41:16 PM GMT+4","Kenya","35-44","Male","Bachelor’s degree","Business owner / Entrepreneur","Private Sector","Occasionally","Roadsides;Urban dumpsites;Markets or open-air areas","Somewhat","Urban areas","Extremely concerned","Somewhat knowledgeable","Television;NGOs","No","Fumes inhalation ","No","TV","Food chain contamination;Climate and environmental damage","Moderately","Yes","Industrial recycling","Startups;Local communities","Technology access ","Increased recycling infrastructure;Incentives for plastic alternatives;Community-based waste management","Using alternatives to plastic. Periodically collecting plastic waste and disposing ","Health education","Sensitisation and offering alternatives to plastics","Need for action on environmental conservation at community and household level. "
"2025/05/30 11:40:26 AM GMT+4","Rwanda","35-44","Male","Bachelor’s degree","Educator / Teacher","Public Sector","Frequently","Roadsides;Rivers/Lakes","Yes","Agricultural land","Not concerned","Somewhat knowledgeable","Television","Yes","??????","Yes","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage","Not at all","","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","Government","??????","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws","????","Better waste facilities","????","????"
