"Timestamp","1. Pays de résidence","2. Tranche d’âge","3. Genre","4. Niveau d’éducation le plus élevé","5.  Profession / Rôle professionnel ","6.  Secteur d’activité ","7. Observez-vous une pollution plastique visible (macroplastiques) dans votre communauté ?","8. Dans quels environnements rencontrez-vous le plus souvent des déchets plastiques ? (Cochez tout ce qui s’applique)","9. Êtes-vous conscient(e) des microplastiques en tant que problème environnemental ou sanitaire ?","10. De votre point de vue, quels écosystèmes sont les plus affectés par la pollution plastique dans votre région ? (Cochez tout ce qui s’applique)","11.  Dans quelle mesure êtes-vous préoccupé(e) par les impacts environnementaux et sanitaires des microplastiques ? ","12. Quel est votre niveau de connaissance sur les causes et les effets de la pollution par les microplastiques ?","13. Quelles sources d’information influencent votre compréhension des microplastiques ? (Cochez tout ce qui s’applique)","14. Pensez-vous que les microplastiques affectent la santé humaine ?","15. Quels effets spécifiques sur la santé avez-vous entendus (le cas échéant) ?","16. Avez-vous vu ou entendu des reportages médiatiques sur les microplastiques ou la pollution plastique au cours des six derniers mois ?","17. Quelles plateformes communiquent le mieux les enjeux environnementaux dans votre pays ? (Classez vos 3 préférées)","18. Quels messages retenez-vous le plus des médias ? (Cochez tout ce qui s’applique)","19. Dans quelle mesure la couverture médiatique a-t-elle influencé votre comportement ou votre préoccupation ?","20. Avez-vous déjà entendu parler du concept d’économie circulaire ?","21. Quelles actions associez-vous à l’économie circulaire ? (Cochez tout ce qui s’applique)","22. Quels secteurs de votre pays travaillent activement à la mise en œuvre de pratiques d’économie circulaire ? (Cochez tout ce qui s’applique)","23. Quels sont les plus grands défis à l’économie circulaire dans votre région ?","24.  Quelles mesures soutenez-vous pour lutter contre la pollution plastique dans votre pays ? (Choisissez jusqu’à 3) ","25.  Quelles actions entreprenez-vous personnellement pour réduire les déchets plastiques ?","26. Qu’est-ce qui vous motiverait (ou motiverait d’autres personnes) à agir davantage ?","27. Quelles actions supplémentaires devraient être entreprises pour lutter contre la pollution par les plastiques et les microplastiques ?","28. Avez-vous d’autres suggestions, recommandations ou expériences que vous souhaiteriez partager ? (Optionnel)"
"2025/08/09 11:41:14 AM GMT+4","République Démocratique du Congo","45-54","Femme","Master ou diplôme supérieur","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques","Oui","Maladies diarrhéique, affection pulmonaire ","Non","Télévision;Radio","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Non","","","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Partenariats public-privé","Encourage ma famille à éviter d’utiliser ou acheter les plastiques à usage unique, sensibilise sur la gestion des déchets plastiques ","Meilleures infrastructures de gestion des déchets","Augmenter les taxes pour les usines de production de plastiques ","Non"
"2025/08/09 8:25:21 PM GMT+4","","35-44","Homme","Licence (Baccalauréat)","Employé(e) du gouvernement","Secteur public","","","Oui","","","Très bien informé(e)","Télévision","Oui","","Oui","Télévision","Menaces pour la vie marine","Modérément","Oui","Surcyclage des déchets","Gouvernement","La lutte contre 7 phénomène ","Interdiction des plastiques à usage unique","Sensibilisation ","Incitations financières","Sensibilisation ","Mettre cadre de concertation "
"2025/08/09 8:37:51 PM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Travailleur(euse) d’ONG / de la société civile","ONG / Société civile","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires;Institutions religieuses","Oui","Toxicité et troubles respiratoires ","Pas sûr(e)","Télévision;Radio;Forums publics","Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Gouvernement;Entreprises privées;Startups","Défis techniques et technologiques, défis environnementaux ","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","Utiliser des bouteilles réutilisables à la place des bouteilles en plastique, promouvoir la sensibilisation et l’engagement citoyen enfin, instaurer des mesures coercitives comme la taxe polluer payeur. ","Leadership communautaire","Interdire ou limiter progressivement les plastiques à usage unique; Introduire des taxes écologiques sur les emballages plastiques; Intégrer l’éducation environnementale dans les programmes scolaires.","Sensibiliser et éduquer la population sur les dangers des plastiques et microplastiques.
"
"2025/08/09 11:33:12 PM GMT+4","République Démocratique du Congo","45-54","Homme","Master ou diplôme supérieur","Professionnel(le) de santé","Secteur public","Fréquemment","Décharges urbaines","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Publications scientifiques","Oui","Les maldies dues aux pollutions","Oui","Télévision;WhatsApp;Journaux","Menaces pour la vie marine;Microplastiques dans l’eau potable;Changements de politiques gouvernementales","Très fortement","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel","Gouvernement;Entreprises privées;Startups;ONG","Acces zux financement","Interdiction des plastiques à usage unique;Incitations pour les alternatives au plastique;Gestion des déchets communautaire","Stockage des dechets plastiques oiur leur évacuation ","Meilleures infrastructures de gestion des déchets","Refiction de la production et uszge des solutions alternatives ","Trcommandation: instaurer fes refevances rn lien zvec la pollution plastique "
"2025/08/10 12:11:06 AM GMT+4","République Démocratique du Congo","25-34","Homme","Licence (Baccalauréat)","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Radio;Réseaux sociaux;Publications scientifiques;ONG","Oui","","Oui","Radio;WhatsApp;Facebook","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Incitations gouvernementales pour les recycleurs","Entreprises privées;Startups;ONG","Les ramasseurs sont mal payés, insuffisance des entreprises de valorisation et recyclage des déchets ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Partenariats public-privé","Je n'utilise pas les emballages en sachet ","Meilleures infrastructures de gestion des déchets","Interdiction formelle de emballages a usage unique ","Sensibiliser la communauté sur la notion de tri, incitation financière aux ramasseurs de déchets, recyclage et interdiction a la production des plastiques a usage unique "
"2025/08/10 12:11:31 AM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/08/10 7:49:43 AM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/08/10 10:53:45 AM GMT+4","République Démocratique du Congo","35-44","Femme","Licence (Baccalauréat)","Professionnel(le) de santé","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air;Dans les rigoles","Oui","Écosystèmes d’eau douce;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université","Oui","Les maladies","Non","WhatsApp;Facebook;TikTok","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire","Très fortement","Non","","Gouvernement;Écoles / universités;ONG","Faible financement alloué à l'économie circulaire ","Renforcement des infrastructures de recyclage;Intégration dans les programmes scolaires","","","","Agir ensemble pour lutter contre la pollution par les macro plastique "
"2025/08/10 11:44:23 AM GMT+4","République Démocratique du Congo","35-44","","Licence (Baccalauréat)","Travailleur(euse) d’ONG / de la société civile","ONG / Société civile","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;École / Université","Oui","","Oui","Télévision;Radio","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel","Entreprises privées;Écoles / universités","La population n'est pas suffisamment informée.","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation","Informer à ceux qui n'ont pas d'information les effets néfastes des plastiques sur l'environnement et dans la santé humaine ","Incitations financières","Valorisation des déchets plastiques, réutilisation, réemploi ","Pas du tout "
"2025/08/10 4:21:09 PM GMT+4","République Démocratique du Congo","18-24","Femme","Diplôme ou équivalent","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université","Oui","Les cancers, les maladies cardiovasculaires et respiratoire ","Oui","Télévision;Facebook;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Très fortement","Oui","Réutilisation et réparation des produits;Recyclage industriel","Gouvernement;ONG","Manque d'infrastructures, faible sensibilisation de la population, manque de marché pour les produits recyclé ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Sensibiliser mon entourage ","Meilleures infrastructures de gestion des déchets","Une bonne éducation des enfants sur les déchets ",""
"2025/08/10 7:38:50 PM GMT+4","République Démocratique du Congo","35-44","Homme","Licence (Baccalauréat)","Employé(e) du gouvernement","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Moyennement","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Modérément préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;ONG","Oui","Cancer d'estomac, cancer de colon","Oui","Télévision;Radio;Facebook;TikTok;Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Non","Réutilisation et réparation des produits;Refonte des emballages;Recyclage industriel","Gouvernement;ONG","Le ramassage et la compréhension de la population sur la réutilisation ","Interdiction des plastiques à usage unique;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets","Jeter les plastiques dans la poubelle, utilisation des sacs ou emballage non plastique ","Leadership communautaire","Sanctions pour les mauvaises usages des déchets plastiques, diminuer l'usage des eaux potable en bouteille plastique ","Financé ceux qui font des reproches sur d'autres produits  naturels et très biodégradables qui peuvent concurrencés les plastiques "
"2025/08/10 11:12:30 PM GMT+4","République Démocratique du Congo","35-44","Homme","Diplôme ou équivalent","Entreprise privée ","Secteur privé","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Réseaux sociaux;Publications scientifiques","Oui","Les maladies ","Pas sûr(e)","Télévision;Facebook","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Non","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Gouvernement;Entreprises privées;ONG","Plusieurs ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","Ne pas jetter les plastiques n'importe où ","Éducation à la santé","",""
"2025/08/10 11:16:15 PM GMT+4","République Démocratique du Congo","25-34","Homme","Éducation secondaire","Étudiant(e)","Étudiant(e)","Jamais","Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce","Extrêmement préoccupé(e)","Très bien informé(e)","Réseaux sociaux","Oui","Oui","Oui","WhatsApp","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales;Je ne me souviens d’aucun","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs;Aucune","Gouvernement;Entreprises privées;Startups;Communautés locales;Écoles / universités;ONG;Je ne sais pas","Marché ","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Partenariats public-privé","Moto Giz","Éducation à la santé","","Publicité "
"2025/08/11 7:53:27 AM GMT+4","République Démocratique du Congo","45-54","Homme","Master ou diplôme supérieur","Employé(e) du gouvernement","Secteur public","Fréquemment","Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG","Oui","Santé mentale,cancer,intoxication,malnutrition ","Oui","Télévision;Radio;WhatsApp","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel","Entreprises privées;ONG","Politique gourvarnementale pour booster ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Partenariats public-privé","Incinération ","Leadership communautaire","Recours aux emballages bio dégradables ou recyclables","Fonte des sachets ou emballages en plastique malange avec du sable pour fabriquer les pavés "
"2025/08/11 9:12:09 AM GMT+4","République Démocratique du Congo","35-44","Homme","Licence (Baccalauréat)","Travailleur(euse) d’ONG / de la société civile","ONG / Société civile","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Radio;Réseaux sociaux;Publications scientifiques;ONG;École / Université;Leaders communautaires;Institutions religieuses","Oui","Pollution atmosphérique lors de l'incinération","Oui","Télévision;Radio;Institutions religieuses","Menaces pour la vie marine;Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Oui","Réutilisation et réparation des produits;Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Surcyclage des déchets","Gouvernement;Entreprises privées;Communautés locales;Écoles / universités;ONG","Manque de partenariat avec d'autres institutions, manque de moyens logistiques","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Gestion des déchets communautaire","Mettre en place de poubelle publique dans chaque endroit. ","Meilleures infrastructures de gestion des déchets","Mettre sur terrain les équipes de ramassage des plastiques. ","Nous avons besoin de votre soutien pour faciliter cette grande activités des plastiques et faire de plaidoyer pour nos ONG national et local communautaire. "
"2025/08/11 11:34:13 AM GMT+4","République Démocratique du Congo","35-44","Femme","Licence (Baccalauréat)","Biologiste ","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Radio;Réseaux sociaux;Publications scientifiques","Oui","Pollution du sol, eau, qui sont des facteurs associés de plusieurs maladies ","Oui","Radio;TikTok;Journaux;Forums publics","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Non","Aucune","Je ne sais pas","Ras","Gestion des déchets communautaire","Le recyclage ","Leadership communautaire","Éducation ","Ras"
"2025/08/11 11:49:35 PM GMT+4","République Démocratique du Congo","35-44","Homme","Licence (Baccalauréat)","Propriétaire d’entreprise / Entrepreneur","Secteur privé","Fréquemment","Marchés ou espaces en plein air","Oui","Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;ONG","Non","Nuisance esthétique ","Non","Télévision","Dégâts climatiques et environnementaux","Légèrement","Oui","Réutilisation et réparation des produits","Je ne sais pas","Une bonne collaboration aux jeunes entrepreneurs ","Renforcement des infrastructures de recyclage","Transformation des déchets plastiques en pavés et les déchets ménagers en charbon écologique ","Meilleures infrastructures de gestion des déchets","Une entreprise de recyclage ","Transformers en plusieurs usage "
"2025/08/17 11:49:01 PM GMT+4","Togo ","18-24","Homme","Licence (Baccalauréat)","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Terres agricoles;Plages;Décharges urbaines;Marchés ou espaces en plein air","Oui","Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Réseaux sociaux;Publications scientifiques;École / Université","Oui","","Non","Forums publics","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Modérément","Non","Aucune","Je ne sais pas","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Gestion des déchets communautaire","","Éducation à la santé","",""
"2025/08/17 11:57:59 PM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","","Fréquemment","Décharges urbaines","Oui","Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université","Pas sûr(e)","","Oui","Télévision","Menaces pour la vie marine;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Très fortement","Oui","Réutilisation et réparation des produits;Recyclage industriel;Incitations gouvernementales pour les recycleurs","Écoles / universités","Réfléchir à pourvoir utiliser ces plastiques qui polluent l'environnement dans des domaines qui n'affecteront pas la santé. ","Incitations pour les alternatives au plastique","Je collecte ces déchets dans le but de les réutiliser dans d'autres bien précis. Pas pour la consommation...","Meilleures infrastructures de gestion des déchets","",""
"2025/08/18 12:50:12 AM GMT+4","Côte d'Ivoire","Moins de 18 ans","Homme","Éducation secondaire","Étudiant(e)","Étudiant(e)","Occasionnellement","Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Modérément préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","Télévision;Réseaux sociaux;École / Université","Pas sûr(e)","","Pas sûr(e)","Télévision;TikTok;YouTube","Microplastiques dans l’eau potable;Contamination de la chaîne alimentaire","Légèrement","Non","Réutilisation et réparation des produits;Recyclage industriel","Je ne sais pas","","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires","","Meilleures infrastructures de gestion des déchets","",""
"2025/08/18 12:57:01 AM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Zones urbaines","Modérément préoccupé(e)","Très bien informé(e)","Aucune","Oui","Caniveaux bouchés par des plastiques et attirant des moustiques qui causent le paludisme ","Oui","Télévision;Forums publics","Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables","Gouvernement;Communautés locales","Les lacs pollués","Renforcement des infrastructures de recyclage;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets","Collecter les plastiques et les envoyer au lieu de recyclage","Incitations financières","Depuis la base, fabriquer des plastiques biodégradables ",""
"2025/08/18 1:21:13 AM GMT+4","Bénin ","35-44","Femme","Master ou diplôme supérieur","Chercheur(e) / Universitaire","Academic/Research","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université","Oui","Troubles digestifs, perturbations hormonales ","Non","Facebook;Journaux;YouTube","","","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Surcyclage des déchets","Startups","Manque d'infrastructures, coût élevé et faible financement, manque de sensibisation","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","","Incitations financières","",""
"2025/08/18 1:32:34 AM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/08/18 1:44:17 AM GMT+4","Togo ","18-24","Homme","Licence (Baccalauréat)","Étudiant(e)","Étudiant(e)","Fréquemment","Bords de routes;Rivières / Lacs;Plages;Décharges urbaines;Marchés ou espaces en plein air;","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Forêts;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Réseaux sociaux;Publications scientifiques;École / Université","Oui","Pollution de l'air ","Non","Forums publics","Menaces pour la vie marine;Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux","Très fortement","Non","Aucune","Je ne sais pas","","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Application stricte des lois sur les déchets;Gestion des déchets communautaire","","Meilleures infrastructures de gestion des déchets","",""
"2025/08/18 1:50:43 AM GMT+4","","25-34","Femme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Décharges urbaines","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Télévision;Réseaux sociaux;Publications scientifiques;École / Université;Leaders communautaires;Institutions religieuses","Oui","Ces déchets peuvent provoquer la contamination des eaux (douce et marine) entraînant des maladies mais aussi une perte de la biodiversité aquatique.","Oui","WhatsApp;Facebook;TikTok","Menaces pour la vie marine;Contamination de la chaîne alimentaire;Dégâts climatiques et environnementaux","Très fortement","Oui","Refonte des emballages;Compostage et matériaux biodégradables;Recyclage industriel;Incitations gouvernementales pour les recycleurs","Gouvernement;Startups;Écoles / universités","La place et l'importance de l'économie circulaire, 
La formation de la jeunesse à l'économie circulaire. ","Renforcement des infrastructures de recyclage;Campagnes nationales de sensibilisation;Intégration dans les programmes scolaires;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Après usage, je cherche toujours une poubelle pour jeter le déchet.
Quand je vais quelqu'un jeté un déchet plastique dans la rue j'essaie de sensibiliser la personne sur les dangers liés à ses déchets au pire des cas moi même je récupère tout cherchant une poubelle le chemin pour le jeter.","Éducation à la santé","Sensibiliser la population sur les dangers liés à ses déchets 
Créer des cabines à chaque ruelle pour la récupération de ses déchets ",""
"2025/08/18 2:28:27 AM GMT+4","Côte d'Ivoire ","25-34","Homme","Master ou diplôme supérieur","Étudiant(e)","Academic/Research","Fréquemment","Bords de routes;Décharges urbaines","Oui","Écosystèmes d’eau douce;Zones marines / côtières;Terres agricoles;Zones urbaines","Extrêmement préoccupé(e)","Assez informé(e)","Publications scientifiques;École / Université;Leaders communautaires","Oui","Problème respiratoire lié au x dioxines et furanes lors de l'incinération, indigestion, cancer et bien d'autres ","Oui","Télévision;Forums publics","Menaces pour la vie marine;Dégâts climatiques et environnementaux;Appels à l’action/nettoyages","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables;Surcyclage des déchets;Incitations gouvernementales pour les recycleurs","Gouvernement;Entreprises privées;Startups;Communautés locales;Écoles / universités","Sensibilisation de la population concernant la production, la gestion des déchets. Prise de conscience des industries pour un cycle circulaire de production ","Interdiction des plastiques à usage unique;Campagnes nationales de sensibilisation;Incitations pour les alternatives au plastique;Application stricte des lois sur les déchets;Partenariats public-privé;Gestion des déchets communautaire","Réutilisation, production des matériaux à base des plastiques comme les pavés et bien d'autres matériaux, incitation à l'utilisation des plastiques biodégradables","Leadership communautaire","Sensibilisation, éducation, recyclage et valorisation ","Réduire la production et la consommation, limitée l'exposition, interdiction de l'utilisation des plastiques à usage unique pour les vendeurs, l'augmentation des prix de plastiques non bio, incitation à l'utilisation des sacs ou paniers pour les achats au marché et bien d'autres "
"2025/08/18 2:28:43 AM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/08/18 3:52:26 AM GMT+4","","35-44","Homme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Plages;Décharges urbaines","Moyennement","Écosystèmes d’eau douce;Zones urbaines","Légèrement préoccupé(e)","J’en ai entendu parler mais je ne suis pas sûr(e)","École / Université","Oui","Les problèmes respiratoires","Non","Télévision;Forums publics","Menaces pour la vie marine;Dégâts climatiques et environnementaux","Modérément","Oui","Réutilisation et réparation des produits;Compostage et matériaux biodégradables","Entreprises privées;Communautés locales","La transformation des déchets plastiques","Renforcement des infrastructures de recyclage;Incitations pour les alternatives au plastique","Sensibiliser les populations à l'utilisation des plastiques recyclables.
Sensibiliser les populations à éviter l'utilisation des plastiques à usage unique.","Meilleures infrastructures de gestion des déchets","L'utilisation des emballages biodégradables ","Je souhaite que les gouvernants prennent durcissent et appliquent les lois sur la production et l'utilisation des plastiques afin de freiner la prolifération des déchets plastiques. "
"2025/08/18 6:04:14 AM GMT+4","Côte d'Ivoire ","35-44","Homme","Master ou diplôme supérieur","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs;Décharges urbaines;Marchés ou espaces en plein air","Oui","Écosystèmes d’eau douce;Zones urbaines","Extrêmement préoccupé(e)","Très bien informé(e)","Réseaux sociaux;Publications scientifiques;École / Université","Oui","Le choléra ","Oui","WhatsApp;Facebook","Menaces pour la vie marine;Microplastiques dans l’eau potable;Dégâts climatiques et environnementaux","Très fortement","Oui","Recyclage industriel;Incitations gouvernementales pour les recycleurs","Écoles / universités","Le stockage des déchets plastiques ","Interdiction des plastiques à usage unique;Renforcement des infrastructures de recyclage;Application stricte des lois sur les déchets","Sensibilité la population ","Éducation à la santé","La vie ","Je parlerais de la vie précieuse que nous vivons sans ces déchets plastiques "
"2025/08/18 6:01:47 PM GMT+4","Niger","35-44","Homme","Éducation secondaire","Enseignant(e) / Éducateur(trice)","Secteur public","Fréquemment","Bords de routes;Rivières / Lacs","Oui","Terres agricoles","Modérément préoccupé(e)","Assez informé(e)","Réseaux sociaux","Oui","","Non","Radio;WhatsApp;Facebook","Dégâts climatiques et environnementaux;Appels à l’action/nettoyages;Changements de politiques gouvernementales","Modérément","Non","Réutilisation et réparation des produits","Je ne sais pas","","","","Leadership communautaire","Sensibilisation de la société ",""
